population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud
,,,S13,0.722911595,0.261121237,0.015967168,0.02761337,0.748009919,0.224376711,0.071819793,0.625917795,0.302262412,0.055398754,0.77316982,0.171431426,0.5490107,0.261286399,0.1897029,0.759491479,0.037098047,0.203410474,0.044233543,0.907024019,0.048742439,0.858335072,0.055741785,0.085923143
,,,S14,0.629860092,0.352434145,0.017705763,0.213027059,0.463979254,0.322993687,0.476082229,0.141230614,0.382687156,0.809453316,0.16925529,0.021291394,0.700299725,0.225374729,0.074325546,0.07268538,0.723529245,0.203785376,0.411538568,0.215958016,0.372503416,0.651866447,0.18932576,0.158807792
,,,S15,0.983324956,0.01617759,0.000497454,0.101535306,0.052872515,0.845592179,0.172410139,0.437454741,0.39013512,0.306416588,0.067216422,0.62636699,0.491535138,0.339499971,0.16896489,0.847227371,0.114547796,0.038224833,0.787273515,0.045364399,0.167362086,0.689368478,0.113606499,0.197025023
60,120,1,S1,0.498833966,0.364684332,0.136481702,0.275378664,0.2217405,0.502880837,0.55111889,0.332400203,0.116480907,0.590885112,0.364199436,0.044915452,0.387160178,0.275380548,0.337459274,0.745188968,0.005677824,0.249133207,0.819424903,0.155663724,0.024911373,0.068400864,0.784052833,0.147546303
,,,S2,0.703010011,0.278054253,0.018935736,0.271576874,0.144247219,0.584175907,0.42232285,0.049016485,0.528660665,0.892888847,0.02744445,0.079666703,0.17905133,0.560366588,0.260582082,0.747429818,0.226915712,0.025654469,0.949802126,0.015104659,0.035093215,0.864717405,0.002807967,0.132474628
,,,S3,0.891354309,0.090025118,0.018620573,0.514536569,0.426088241,0.05937519,0.518033803,0.086318038,0.395648159,0.595147922,0.291702038,0.113150039,0.955899206,0.036807363,0.007293431,0.666132673,0.168156752,0.165710575,0.435744834,0.323641544,0.240613622,0.662924974,0.209235794,0.127839233
,,,S4,0.575927937,0.297386868,0.126685195,0.656687765,0.10996693,0.233345305,0.568408276,0.116668743,0.314922981,0.866414956,0.038889202,0.094695842,0.245034752,0.55562933,0.199335918,0.851590045,0.050628136,0.097781819,0.64571787,0.278897214,0.075384916,0.483177391,0.459730249,0.057092359
,,,S5,0.539307284,0.408544939,0.052147777,0.419754173,0.111256821,0.468989005,0.929194938,0.066135413,0.004669649,0.978710186,0.020727052,0.000562762,0.774068342,0.156913827,0.069017831,0.571330739,0.360045648,0.068623613,0.038356228,0.450537115,0.511106657,0.809020482,0.145485323,0.045494195
,,,S6,0.498833966,0.364684332,0.136481702,0.275378664,0.2217405,0.502880837,0.55111889,0.332400203,0.116480907,0.590885112,0.364199436,0.044915452,0.387160178,0.275380548,0.337459274,0.745188968,0.005677824,0.249133207,0.819424903,0.155663724,0.024911373,0.068400864,0.784052833,0.147546303
,,,S7,0.703010011,0.278054253,0.018935736,0.271576874,0.144247219,0.584175907,0.42232285,0.049016485,0.528660665,0.892888847,0.02744445,0.079666703,0.17905133,0.560366588,0.260582082,0.747429818,0.226915712,0.025654469,0.949802126,0.015104659,0.035093215,0.864717405,0.002807967,0.132474628
,,,S8,0.967468064,0.024148085,0.008383851,0.072578731,0.781981446,0.145439823,0.874663851,0.075956814,0.049379335,0.486866313,0.343279337,0.16985435,0.980406413,0.018783589,0.000809998,0.992962448,0.001485638,0.005551914,0.279333725,0.464434332,0.256231944,0.265328467,0.650082841,0.084588692
,,,S9,0.575927937,0.297386868,0.126685195,0.656687765,0.10996693,0.233345305,0.568408276,0.116668743,0.314922981,0.866414956,0.038889202,0.094695842,0.245034752,0.55562933,0.199335918,0.851590045,0.050628136,0.097781819,0.64571787,0.278897214,0.075384916,0.927486808,0.066700759,0.005812433
,,,S10,0.680469709,0.315384649,0.004145642,0.551081695,0.425945425,0.02297288,0.289901657,0.286004609,0.424093734,0.99239,0.005201231,0.002408769,0.019641224,0.141958844,0.838399932,0.231842633,0.694594857,0.07356251,0.050887497,0.654182006,0.294930498,0.483177391,0.459730249,0.057092359
,,,S11,0.539307284,0.408544939,0.052147777,0.419754173,0.111256821,0.468989005,0.833648843,0.049877704,0.116473453,0.411609527,0.294013658,0.294376816,0.311405642,0.085099934,0.603494424,0.158278854,0.620486743,0.221234403,0.46845472,0.510782366,0.020762914,0.728282474,0.169414671,0.102302855
120,120,1,S1,0.562637877,0.430407967,0.006954156,0.856203545,0.137292132,0.006504323,0.282508479,0.113038527,0.604452993,0.184904462,0.764039926,0.051055611,0.625625063,0.199072429,0.175302509,0.774973036,0.225009136,1.78E-05,0.09632666,0.474179195,0.429494145,0.419709572,0.366359955,0.213930473
,,,S2,0.979585444,0.006424133,0.013990423,0.732712774,0.058640034,0.208647192,0.082738298,0.674688911,0.242572791,0.284765135,0.623883186,0.091351679,0.78529451,0.15819173,0.05651376,0.031566407,0.642291462,0.326142131,0.201817889,0.713709435,0.084472676,0.825090882,0.051525205,0.123383913
,,,S3,0.662432385,0.237148367,0.100419247,0.629587544,0.029130812,0.341281644,0.823572589,0.139788495,0.036638916,0.859162438,0.11153717,0.029300392,0.056734317,0.652545333,0.290720349,0.294694631,0.317487411,0.387817959,0.903350742,0.037551174,0.059098084,0.004811417,0.699760909,0.295427674
,,,S4,0.751447075,0.224248715,0.02430421,0.227960409,0.757399853,0.014639738,0.123783566,0.005545672,0.870670761,0.489454637,0.389278731,0.121266632,0.906860835,0.059981275,0.033157889,0.554290747,0.375684164,0.070025089,0.433291825,0.348588342,0.218119833,0.126510768,0.768797637,0.104691595
,,,S5,0.990983285,0.002029003,0.006987712,0.158384223,0.046912001,0.794703776,0.682276619,0.151802465,0.165920915,0.944193165,0.048017141,0.007789694,0.828267215,0.045446036,0.126286749,0.474248729,0.201091079,0.324660192,0.747725822,0.077516626,0.174757552,0.9321869,0.067801902,1.12E-05
