population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud,NormalActuate,AlertActuate,CriticalActuate,,
360,360,4,S1,0.674207279,0.099208686,0.226584035,0.568154291,0.337517447,0.094328262,0.138553349,0.279726562,0.581720089,0.192395228,0.709120695,0.098484078,0.743610016,0.071750297,0.184639687,0.941130012,0.047458808,0.011411181,0.185691669,0.679578063,0.134730268,0.700277789,0.191362533,0.108359678,3.827,4.672,8.24,,100
,,,S2,0.184660526,0.667199252,0.148140222,0.054223778,0.811437864,0.134338358,0.406433142,0.593377551,0.000189307,0.320122526,0.552595979,0.127281495,0.390988877,0.297664904,0.311346219,0.718098541,0.058430854,0.223470605,0.224837534,0.050801319,0.724361147,0.450848629,0.193189197,0.355962175,2.409,4.905,8.576,,32
,,,S3,0.761236915,0.17441812,0.064344965,0.580880062,0.081206023,0.337913915,0.693002664,0.20708522,0.099912116,0.114413634,0.778225535,0.107360831,0.006591928,0.355263355,0.638144717,0.744960094,0.158845498,0.096194408,0.09333071,0.675566954,0.231102336,0.379678235,0.436325095,0.183996669,2.947,4.925,8.241,,44
,,,S4,0.5791479,0.407171025,0.013681075,0.293911986,0.534370233,0.171717781,0.462420568,0.385727378,0.151852054,0.022463026,0.472634634,0.50490234,0.471903442,0.249999966,0.278096592,0.582097159,0.207907326,0.209995516,0.087645145,0.224439551,0.687915304,0.198508857,0.580278088,0.221213055,3.17,4.69,8.314,,459
,,,S5,0.4880476,0.352801854,0.159150545,0.106429075,0.370437198,0.523133727,0.337362888,0.143397979,0.519239133,0.846790519,0.020058976,0.133150505,0.436819594,0.337563078,0.225617327,0.026862515,0.755568997,0.217568488,0.050104331,0.536789763,0.413105905,0.891280897,0.021794981,0.086924122,3.273,4.967,7.952,,51
,,,S6,0.647452642,0.276599545,0.075947812,0.348065756,0.073428405,0.57850584,0.127483248,0.712363768,0.160152983,0.850380494,0.018502656,0.131116849,0.245741717,0.106645885,0.647612399,0.235524069,0.683181351,0.08129458,0.724907737,0.200522894,0.074569369,0.867044072,0.01337242,0.119583508,3.317,5.389,7.908,,100
,,,S7,0.786417185,0.124285292,0.089297523,0.492687899,0.044947275,0.462364826,0.323587525,0.299754035,0.37665844,0.822027177,0.141914926,0.036057897,0.523227913,0.412825633,0.063946454,0.798607211,0.170352257,0.031040532,0.350544983,0.299102873,0.350352145,0.152505465,0.490168744,0.357325791,3.238,4.632,8.407,,148
,,,S8,0.551919416,0.192012027,0.256068557,0.153252624,0.618505625,0.228241751,0.83066416,0.163048078,0.006287763,0.723134751,0.193722199,0.083143049,0.141749109,0.176255568,0.681995323,0.264127181,0.167583956,0.568288863,0.10141821,0.643465974,0.255115815,0.643658808,0.310665031,0.04567616,2.454,5.648,7.985,,3
,,,S9,0.389854146,0.537238438,0.072907416,0.726096631,0.271248893,0.002654475,0.194811598,0.641928031,0.163260371,0.787416524,0.048576393,0.164007083,0.617611468,0.033559813,0.348828719,0.388559773,0.063939351,0.547500877,0.321009147,0.188896241,0.490094612,0.127572635,0.729578265,0.1428491,2.899,5.434,7.866,,30
,,,S10,0.821274969,0.122901033,0.055823998,0.887546162,0.053167876,0.059285963,0.157672945,0.272400975,0.56992608,0.639852709,0.017522766,0.342624524,0.430793217,0.197929968,0.371276815,0.831034351,0.027244663,0.141720986,0.346631349,0.561237103,0.092131548,0.587389985,0.3271741,0.085435914,3.628,4.732,7.696,,19
